100120,Intellijent Investor,Benjamin Graham,Investing|Educational
100221,Think And Grow Rich,Napolean Hill,Educational
541000,The Secret,Rhonda Byrne,Inspirational
541000,The Secret,Graham Byrne,Inspirational
541000,The Secret,Rhonda Byrne,Inspirational
541000,The Secret,Rhonda Byrne,Inspirational
141312629,The Changeling Sea,Patricia A. McKillip,Novel
595321801,The Changeling,Zilpha Keatley Snyder,Novel
1590301943,The Changeling,Kate Horsley,Novel
449146979,The Changeling (Daughters of England  #15),Philippa Carr,Novel
61159174,The Known World,Edward P. Jones,Novel
006076273X,The Known World,Edward P. Jones/Kevin R. Free,Novel
60749911,The Known World,Edward P. Jones,Novel
541000,The Secret,Graham Bell,Novel|Eductional
100221,Test,Test Author,Wrong,Entry,Novel|Wrong Record
